"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"75","2021-10-18","14:39:30","20h:10m","YL3AKH","-16","FT8","20m","14.0742","Latvia","YL","KO16OL","5945"
"29","2021-10-19","02:57:29","7h:52m","SQ5MJX","-15","FT8","20m","14.0743","Poland","SP","KO02JD","5917"
"74","2021-10-18","14:40:27","20h:09m","SP5BBG","-9","FT8","20m","14.0743","Poland","SP","KO02LF67","5909"
"10","2021-10-19","10:33:29","16min","JE6WUG","-15","FT8","20m","14.0742","Japan","JA","PM53MF62","5874"
"76","2021-10-18","14:38:29","20h:11m","JF6EAO","-17","FT8","20m","14.0742","Japan","JA","PM52IT","5842"
"95","2021-10-18","14:11:27","20h:38m","JF6EAO","-7","FT8","20m","14.0742","Japan","JA","PM52IT","5842"
"215","2021-10-18","11:51:29","22h:58m","JH6RVI","-16","FT8","20m","14.0742","Japan","JA","PM52IQ","5841"
"125","2021-10-18","13:45:29","21h:04m","JA6GCE","-13","FT8","20m","14.0742","Japan","JA","PM52HV","5834"
"85","2021-10-18","14:26:27","20h:23m","JA6NEJ","-13","FT8","20m","14.0742","Japan","JA","PM52HM","5833"
"97","2021-10-18","14:09:29","20h:40m","JE6HJT","-13","FT8","20m","14.0742","Japan","JA","PM53CN","5797"
"24","2021-10-19","05:45:27","5h:04m","SP7QJF","-22","FT8","20m","14.0743","Poland","SP","KO10FQ09","5755"
"78","2021-10-18","14:37:30","20h:12m","RW1A","-15","FT8","20m","14.0743","Russia-EU","UA","KO48VR","5716"
"61","2021-10-18","14:47:29","20h:02m","SP8LM","-13","FT8","20m","14.0743","Poland","SP","KN19FI","5708"
"212","2021-10-18","11:55:27","22h:54m","JG3TRB","-11","FT8","20m","14.0742","Japan","JA","PM74","5642"
"187","2021-10-18","12:34:26","22h:15m","JR6AZ","-17","FT8","20m","14.0752","Japan","JA","PL36UF12","5561"
"41","2021-10-18","15:06:33","19h:43m","SV8NAJ","-16","FT8","20m","14.0743","Greece","SV","KM07KS","5549"
"44","2021-10-18","15:02:30","19h:47m","URØUQ","-14","FT8","20m","14.0743","Ukraine","UR","KO50","5485"
"6","2021-10-19","10:37:30","12min","YC9FZ","-11","FT8","20m","14.0743","Indonesia","YB","OI71PH","5456"
"45","2021-10-18","15:01:32","19h:48m","SV3AQT","-21","FT8","20m","14.0743","Greece","SV","KM18AG","5456"
"154","2021-10-18","13:05:30","21h:44m","YF9CJQ","-15","FT8","20m","14.0742","Indonesia","YB","OI71PI","5454"
"107","2021-10-18","13:58:29","20h:51m","JA4FCV","-19","FT8","20m","14.0743","Japan","JA","PM64","5452"
"122","2021-10-18","13:47:27","21h:02m","LZ1LZ","-15","FT8","20m","14.0742","Bulgaria","LZ","KN12PQ20","5445"
"132","2021-10-18","13:26:27","21h:23m","VA7CD/DU7","-15","FT8","20m","14.0746","Philippines","DU","PK20AX","5440"
"64","2021-10-18","14:44:28","20h:05m","YO8TVD","-12","FT8","20m","14.0743","Romania","YO","KN27XU12","5410"
"62","2021-10-18","14:46:30","20h:03m","YO8SGV","-13","FT8","20m","14.0743","Romania","YO","KN37EW","5384"
"70","2021-10-18","14:41:29","20h:08m","SV1CDN","-15","FT8","20m","14.0743","Greece","SV","KM17TX","5314"
"92","2021-10-18","14:22:29","20h:27m","UT2XQ","-17","FT8","20m","14.0742","Ukraine","UR","KO40ME","5302"
"131","2021-10-18","13:26:27","21h:23m","EW8DU","-14","FT8","20m","14.0743","Belarus","EU","KO52LM","5301"
"53","2021-10-18","14:49:42","20h:00m","YO8AAZ","-15","FT8","20m","14.0741","Romania","YO","KN36KN44","5296"
"59","2021-10-18","14:48:29","20h:01m","YO8RNP","-15","FT8","20m","14.0743","Romania","YO","KN34BK","5276"
"63","2021-10-18","14:45:30","20h:04m","YO8SEP","2","FT8","20m","14.0742","Romania","YO","KN36RT","5264"
"104","2021-10-18","14:02:27","20h:47m","YO9FQT","-12","FT8","20m","14.0743","Romania","YO","KN34HR72","5248"
"100","2021-10-18","14:05:26","20h:44m","US8UW","-15","FT8","20m","14.0743","Ukraine","UR","KN59FR","5188"
"189","2021-10-18","12:33:29","22h:16m","R2BEP","-15","FT8","20m","14.0752","Russia-EU","UA","KO86VA","5151"
"17","2021-10-19","10:05:27","44min","R2AL","-14","FT8","-","0.0000","Russia-EU","UA","KO85PP","5149"
"200","2021-10-18","12:19:30","22h:30m","UA3ALE","-17","FT8","20m","14.0742","Russia-EU","UA","KO85VT24","5136"
"233","2021-10-18","11:10:30","23h:39m","YB7HE","-14","FT8","20m","14.0743","Indonesia","YB","OI77ON","5084"
"105","2021-10-18","13:59:31","20h:50m","US5CCO","-13","FT8","20m","14.0753","Ukraine","UR","KN59XG","5069"
"230","2021-10-18","11:20:29","23h:29m","BX2AIL","-15","FT8","20m","14.0743","Taiwan","BV","PL05RA","4939"
"201","2021-10-18","12:19:30","22h:30m","R2WAF","-16","FT8","20m","14.0743","Russia-EU","UA","KO81GO","4922"
"52","2021-10-18","14:51:29","19h:58m","YB2TS","-12","FT8","20m","14.0743","Indonesia","YB","OI52FW","4916"
"18","2021-10-19","10:02:30","47min","YC2CZF","-15","FT8","20m","14.0742","Indonesia","YB","OI42XO","4893"
"141","2021-10-18","13:18:33","21h:31m","RA3ZGT","-13","FT8","20m","14.0743","Russia-EU","UA","KO81SG57","4844"
"77","2021-10-18","14:37:30","20h:12m","RA3ZK","-15","FT8","20m","14.0742","Russia-EU","UA","KO81VH","4832"
"162","2021-10-18","13:02:29","21h:47m","UX4LX","-16","FT8","20m","14.0742","Ukraine","UR","KN89EV99CB","4827"
